,매장명,주소,영업 시간
170,인천시청점,"인천광역시 남동구 인주대로 623번길 26, 1층 103호",07:30~20:00
171,일산후곡점,"경기도 고양시 일산서구 일산동 1060, 뉴시티프라자 105호",09:00~23:00
172,잠실방이점,"서울특별시 송파구 오금로11길 65, 103호",07:30~20:00
173,장한평역점,"서울특별시 성동구 천호대로 380-7, 용답동 동우리즈힐스 101호",07:30~19:30
174,정자역점,경기도 성남시 분당구 정자동 25-1 분당인텔리지1 제1층 킨스타워 101호,06:30~21:00
175,종각센트로폴리스점,서울특별시 종로구 우정국로 26 센트로폴리스,06:30~21:00
176,중계은행사거리점,서울특별시 노원구 중계동 359-9,08:00~21:30
177,중앙대점,서울특별시 동작구 흑석로 85,07:30~20:00
178,증미마스터밸류점,"서울특별시 강서구 양천로 547, 1층 112호",07:00~22:30
179,진주보건대점,"경남 진주시 창렬로 104, 1층",08:00~19:00
180,진주평거점,"경상남도 진주시 순환로 529, 1층 103호",07:00~22:00
181,천안성정점,충청남도 천안시 서북구 성정동 1519,07:50~19:00
182,천안신불당점,"충청남도 천안시 서북구 불당26로 100-20,1층 101,102호",08:00~22:30
183,천호현대점,서울시 강동구 올림픽로 70길 25 1층,07:00~23:00
184,청담디아트점,"서울특별시 강남구 압구정로79길 32, 104-2호",07:00~19:30
185,청주금천점,충청북도 청주시 상당구 수영로289,07:00~21:00
186,청주지웰시티몰점,"충청북도 청주시 흥덕구 대농로 47-1, 1층 102호",08:00~22:00
187,청진타워8점,서울시 종로구 청진동 128,06:30~19:00
188,충무로역점,"서울특별시 중구 수표로 6길, 45, 1,2,3층 (충무로3가)",07:00~21:00
189,충무로점,서울특별시 중구 필동2가 21-1,07:00~22:00
190,충주시청점,"충청북도 충주시 국원대로 206, 1층",08:00~19:00
191,충주호암점,"충북 충주시 호암동 996, 1층",08:00~22:00
192,테헤란로점,서울 강남구 역삼동 718-2,06:30~21:00
193,통영미수점,"경상남도 통영시 미수해안로 36, 상가동 1층 104호",07:30~21:00
194,통일점,평양시 천리마대로 1,07:00~21:00
195,파인에비뉴점,서울시 중구 을지로2가 203,06:30~19:00
196,판교우림W시티점,경기도 성남시 분당구 삼평동 618번지 판교우림W시티 113호,07:00~20:30
197,페럼타워점,서울특별시 중구 수하동 66,06:30~19:00
198,평촌금강펜테리움점,"경기도 안양시 동안구 학의로 282, 133호 (관양도, 금강펜테리움IT타워)",07:00~19:00
199,평촌학원가점,"경기도 안양시 동안구 평촌대로 121, 1층 101호",07:00~21:10
200,포이사거리점,서울시 서초구 양재동 276-6,06:30~21:00
201,학동역점,서울 강남구 학동로 213 제현빌딩 1층,07:00~21:00
202,한양대점,"서울특별시 성동구 마조로 25, 106호",08:00~22:00
203,한티역점,"서울 강남구 선릉로311, 한티빌딩 1층",07:00~23:00
204,합정역점,서울 마포구 양화로 72,07:00~23:00
205,홍대입구역사거리점,서울 마포구 양화로 129,07:00~21:00
206,회기역사거리점,서울 동대문구 회기로 176 (회기동81),07:00~22:00
207,AK금정점,경기도 군포시 금정동 689번지 AK플라자 금정점 2층,07:30~22:30
